RK,NAME,TM,POS,GP,AB,R,H,AVG,2B,3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
119,Spencer Torkelson,DET,1B,159,606,88,141,0.233,34,1,31,94,270,67,171,3,0.313,0.446,0.758,0.8
120,Eugenio Suarez,SEA,3B,162,598,68,139,0.232,29,0,22,96,234,70,214,2,0.323,0.391,0.714,2.2
121,Cal Raleigh,SEA,C,145,513,78,119,0.232,23,1,30,75,234,54,158,0,0.306,0.456,0.762,3.2
122,Zach McKinstry,DET,SS,148,464,60,107,0.231,21,4,9,35,163,44,113,16,0.302,0.351,0.654,1.2
123,Carlos Correa,MIN,SS,135,514,60,118,0.23,29,2,18,65,205,59,131,0,0.312,0.399,0.711,1.4
124,Jake Cronenworth,SD,1B,127,458,54,105,0.229,24,7,10,48,173,46,97,6,0.312,0.378,0.689,1
125,Jack Suwinski,PIT,CF,144,447,63,100,0.224,21,2,26,74,203,75,172,13,0.339,0.454,0.793,2.2
126,Javier Baez,DET,SS,136,510,58,113,0.222,18,4,9,59,166,24,125,12,0.267,0.325,0.593,0.7
127,Daulton Varsho,TOR,LF,158,527,65,116,0.22,23,3,20,61,205,45,135,16,0.285,0.389,0.674,3.9
128,Willy Adames,MIL,SS,149,553,73,120,0.217,29,2,24,80,225,71,165,5,0.31,0.407,0.717,3
129,Pete Alonso,NYM,1B,154,568,92,123,0.217,21,2,46,118,286,65,151,4,0.318,0.504,0.821,3.2
130,Max Muncy,LAD,3B,135,482,95,102,0.212,17,1,36,105,229,85,153,1,0.333,0.475,0.808,2.6
131,Anthony Volpe,NYY,SS,159,541,62,113,0.209,23,4,21,60,207,52,167,24,0.283,0.383,0.666,3.2
132,Trent Grisham,SD,CF,153,469,67,93,0.198,31,1,13,50,165,75,154,15,0.315,0.352,0.666,2
133,Kyle Schwarber,PHI,DH,160,585,108,115,0.197,19,1,47,104,277,126,215,0,0.343,0.474,0.817,0.7
