"","Rank","Name","Tm","League","Year","Vote.Pts","X1st.Place","Share","WAR","G","AB","R","H","HR","RBI","SB","BB","BA","OBP","SLG","OPS","Winners"
"195",3,"Carlton Fisk","CHW","AL",1983,209,3,0.53,4.3,138,488,85,141,26,86,9,46,0.289,0.355,0.518,0.874,0
"196",4,"Jim Rice","BOS","AL",1983,150,0,0.38,5.7,155,626,90,191,39,126,0,52,0.305,0.361,0.55,0.911,0
"197",5,"Cecil Cooper","MIL","AL",1983,123,0,0.31,4,160,661,106,203,30,126,2,37,0.307,0.341,0.508,0.849,0
"198",7,"Dave Winfield","NYY","AL",1983,85,0,0.22,2.5,152,598,99,169,32,116,15,58,0.283,0.345,0.513,0.858,0
"199",8,"Lou Whitaker","DET","AL",1983,84,0,0.21,6.7,161,643,94,206,12,72,17,67,0.32,0.38,0.457,0.837,0
"200",9,"Lance Parrish","DET","AL",1983,66,0,0.17,4.7,155,605,80,163,27,114,1,44,0.269,0.314,0.483,0.796,0
"201",2,"Kent Hrbek","MIN","AL",1984,247,5,0.63,5.6,149,559,80,174,27,107,1,65,0.311,0.383,0.522,0.906,0
"202",4,"Eddie Murray","BAL","AL",1984,197,2,0.5,7.1,162,588,97,180,29,110,10,107,0.306,0.41,0.509,0.918,0
"203",5,"Don Mattingly","NYY","AL",1984,113,0,0.29,6.3,153,603,91,207,23,110,1,41,0.343,0.381,0.537,0.918,0
"204",6,"Kirk Gibson","DET","AL",1984,96,0,0.24,5.1,149,531,92,150,27,91,29,63,0.282,0.363,0.516,0.879,0
"205",7,"Tony Armas","BOS","AL",1984,87,0,0.22,2.6,157,639,107,171,43,123,1,32,0.268,0.3,0.531,0.831,0
"206",8,"Dave Winfield","NYY","AL",1984,83,0,0.21,5.3,141,567,106,193,19,100,6,53,0.34,0.393,0.515,0.908,0
"207",9,"Alan Trammell","DET","AL",1984,76,0,0.19,6.8,139,555,85,174,14,69,19,60,0.314,0.382,0.468,0.851,0
"208",1,"Don Mattingly","NYY","AL",1985,367,23,0.94,6.5,159,652,107,211,35,145,2,56,0.324,0.371,0.567,0.939,1
"209",2,"George Brett","KCR","AL",1985,274,5,0.7,8.3,155,550,108,184,30,112,9,103,0.335,0.436,0.585,1.022,0
"210",3,"Rickey Henderson","NYY","AL",1985,174,0,0.44,9.9,143,547,146,172,24,72,80,99,0.314,0.419,0.516,0.934,0
"211",4,"Wade Boggs","BOS","AL",1985,159,0,0.41,9.1,161,653,107,240,8,78,2,96,0.368,0.45,0.478,0.928,0
"212",5,"Eddie Murray","BAL","AL",1985,130,0,0.33,5.6,156,583,111,173,31,124,5,84,0.297,0.383,0.523,0.906,0
"213",7,"Jesse Barfield","TOR","AL",1985,88,0,0.22,6.8,155,539,94,156,27,84,22,66,0.289,0.369,0.536,0.905,0
"214",8,"George Bell","TOR","AL",1985,84,0,0.21,4.1,157,607,87,167,28,95,21,43,0.275,0.327,0.479,0.807,0
"215",9,"Harold Baines","CHW","AL",1985,49,0,0.13,2.4,160,640,86,198,22,113,1,42,0.309,0.348,0.467,0.815,0
"216",2,"Don Mattingly","NYY","AL",1986,258,5,0.66,7.2,162,677,117,238,31,113,0,53,0.352,0.394,0.573,0.967,0
"217",3,"Jim Rice","BOS","AL",1986,241,4,0.61,5.6,157,618,98,200,20,110,0,62,0.324,0.384,0.49,0.874,0
"218",4,"George Bell","TOR","AL",1986,125,0,0.32,3.8,159,641,101,198,31,108,7,41,0.309,0.349,0.532,0.881,0
"219",5,"Jesse Barfield","TOR","AL",1986,107,0,0.27,7.6,158,589,107,170,40,108,8,69,0.289,0.368,0.559,0.927,0
"220",6,"Kirby Puckett","MIN","AL",1986,105,0,0.27,5.7,161,680,119,223,31,96,20,34,0.328,0.366,0.537,0.903,0
"221",7,"Wade Boggs","BOS","AL",1986,87,0,0.22,8.1,149,580,107,207,8,71,0,105,0.357,0.453,0.486,0.939,0
"222",8,"Wally Joyner","CAL","AL",1986,74,0,0.19,3.2,154,593,82,172,22,100,5,57,0.29,0.348,0.457,0.805,0
"223",9,"Joe Carter","CLE","AL",1986,72,0,0.18,5.7,162,663,108,200,29,121,29,32,0.302,0.335,0.514,0.849,0
"224",1,"George Bell","TOR","AL",1987,332,16,0.85,5,156,610,111,188,47,134,5,39,0.308,0.352,0.605,0.957,1
"225",2,"Alan Trammell","DET","AL",1987,311,12,0.79,8.2,151,597,109,205,28,105,21,60,0.343,0.402,0.551,0.953,0
"226",3,"Kirby Puckett","MIN","AL",1987,201,0,0.51,4.2,157,624,96,207,28,99,12,32,0.332,0.367,0.534,0.9,0
"227",4,"Dwight Evans","BOS","AL",1987,127,0,0.32,4.8,154,541,109,165,34,123,4,106,0.305,0.417,0.569,0.986,0
"228",5,"Paul Molitor","MIL","AL",1987,125,0,0.32,6,118,465,114,164,16,75,45,69,0.353,0.438,0.566,1.003,0
"229",6,"Mark McGwire","OAK","AL",1987,109,0,0.28,5.1,151,557,97,161,49,118,1,71,0.289,0.37,0.618,0.987,0
"230",7,"Don Mattingly","NYY","AL",1987,92,0,0.23,5.1,141,569,93,186,30,115,1,51,0.327,0.378,0.559,0.937,0
"231",8,"Tony Fernández","TOR","AL",1987,79,0,0.2,5.1,146,578,90,186,5,67,32,51,0.322,0.379,0.426,0.805,0
"232",9,"Wade Boggs","BOS","AL",1987,64,0,0.16,8.3,147,551,108,200,24,89,1,105,0.363,0.461,0.588,1.049,0
"233",1,"José Canseco","OAK","AL",1988,392,28,1,7.3,158,610,120,187,42,124,40,78,0.307,0.391,0.569,0.959,1
"234",2,"Mike Greenwell","BOS","AL",1988,242,0,0.62,7.5,158,590,86,192,22,119,16,87,0.325,0.416,0.531,0.946,0
"235",3,"Kirby Puckett","MIN","AL",1988,219,0,0.56,7.8,158,657,109,234,24,121,6,23,0.356,0.375,0.545,0.92,0
"236",4,"Dave Winfield","NYY","AL",1988,164,0,0.42,5.4,149,559,96,180,25,107,9,69,0.322,0.398,0.53,0.927,0
"237",6,"Wade Boggs","BOS","AL",1988,107,0,0.27,8.3,155,584,128,214,5,58,2,125,0.366,0.476,0.49,0.965,0
"238",7,"Alan Trammell","DET","AL",1988,62,0,0.16,6,128,466,73,145,15,69,7,46,0.311,0.373,0.464,0.836,0
"239",8,"Paul Molitor","MIL","AL",1988,50,0,0.13,5.2,154,609,115,190,13,60,41,71,0.312,0.384,0.452,0.836,0
"240",9,"Dwight Evans","BOS","AL",1988,49,0,0.13,3.2,149,559,96,164,21,111,5,76,0.293,0.375,0.487,0.861,0
"241",1,"Robin Yount","MIL","AL",1989,256,8,0.65,5.8,160,614,101,195,21,103,19,63,0.318,0.384,0.511,0.896,1
"242",2,"Rubén Sierra","TEX","AL",1989,228,6,0.58,5.9,162,634,101,194,29,119,8,43,0.306,0.347,0.543,0.889,0
"243",3,"Cal Ripken Jr.","BAL","AL",1989,216,6,0.55,6.7,162,646,80,166,21,93,3,57,0.257,0.317,0.401,0.718,0
"244",4,"George Bell","TOR","AL",1989,205,4,0.52,3,153,613,88,182,18,104,4,33,0.297,0.33,0.458,0.788,0
"245",6,"Fred McGriff","TOR","AL",1989,96,0,0.24,6.6,161,551,98,148,36,92,7,119,0.269,0.399,0.525,0.924,0
"246",7,"Kirby Puckett","MIN","AL",1989,84,0,0.21,4.9,159,635,75,215,9,85,11,41,0.339,0.379,0.465,0.843,0
"247",9,"Rickey Henderson","TOT","AL",1989,67,0,0.17,8.7,150,541,113,148,12,57,77,126,0.274,0.411,0.399,0.81,0
"248",1,"Rickey Henderson","OAK","AL",1990,317,14,0.81,9.9,136,489,119,159,28,61,65,97,0.325,0.439,0.577,1.016,1
"249",2,"Cecil Fielder","DET","AL",1990,286,10,0.73,6.5,159,573,104,159,51,132,0,90,0.277,0.377,0.592,0.969,0
"250",4,"Kelly Gruber","TOR","AL",1990,175,0,0.45,4.2,150,592,92,162,31,118,14,48,0.274,0.33,0.512,0.842,0
"251",7,"George Brett","KCR","AL",1990,60,0,0.15,4.1,142,544,82,179,14,87,9,56,0.329,0.387,0.515,0.902,0
"252",1,"Cal Ripken Jr.","BAL","AL",1991,318,15,0.81,11.5,162,650,99,210,34,114,6,53,0.323,0.374,0.566,0.94,1
"253",2,"Cecil Fielder","DET","AL",1991,286,9,0.73,3.8,162,624,102,163,44,133,0,78,0.261,0.347,0.513,0.86,0
"254",3,"Frank Thomas","CHW","AL",1991,181,1,0.46,7,158,559,104,178,32,109,1,138,0.318,0.453,0.553,1.006,0
"255",4,"José Canseco","OAK","AL",1991,145,0,0.37,5.3,154,572,115,152,44,122,26,78,0.266,0.359,0.556,0.915,0
"256",5,"Joe Carter","TOR","AL",1991,136,1,0.35,4.7,162,638,89,174,33,108,20,49,0.273,0.33,0.503,0.833,0
"257",6,"Roberto Alomar","TOR","AL",1991,128,2,0.33,4.6,161,637,88,188,9,69,53,57,0.295,0.354,0.436,0.791,0
"258",7,"Kirby Puckett","MIN","AL",1991,78,0,0.2,4.3,152,611,92,195,15,89,11,31,0.319,0.352,0.46,0.812,0
"259",8,"Rubén Sierra","TEX","AL",1991,63,0,0.16,5.1,161,661,110,203,25,116,16,56,0.307,0.357,0.502,0.859,0
"260",9,"Ken Griffey Jr.","SEA","AL",1991,62,0,0.16,7.1,154,548,76,179,22,100,18,71,0.327,0.399,0.527,0.926,0
"261",2,"Kirby Puckett","MIN","AL",1992,209,3,0.53,7.1,160,639,104,210,19,110,17,44,0.329,0.374,0.49,0.864,0
"262",3,"Joe Carter","TOR","AL",1992,201,4,0.51,2.5,158,622,97,164,34,119,12,36,0.264,0.309,0.498,0.808,0
"263",4,"Mark McGwire","OAK","AL",1992,155,1,0.4,6.5,139,467,87,125,42,104,0,90,0.268,0.385,0.585,0.97,0
"264",5,"Dave Winfield","TOR","AL",1992,141,2,0.36,4.1,156,583,92,169,26,108,2,82,0.29,0.377,0.491,0.867,0
"265",6,"Roberto Alomar","TOR","AL",1992,118,3,0.3,6.6,152,571,105,177,8,76,49,87,0.31,0.405,0.427,0.832,0
"266",7,"Mike Devereaux","BAL","AL",1992,109,0,0.28,4.5,156,653,76,180,24,107,10,44,0.276,0.321,0.464,0.785,0
"267",8,"Frank Thomas","CHW","AL",1992,108,0,0.28,7,160,573,108,185,24,115,6,122,0.323,0.439,0.536,0.975,0
"268",9,"Cecil Fielder","DET","AL",1992,83,0,0.21,2.8,155,594,80,145,35,124,0,73,0.244,0.325,0.458,0.783,0
"269",1,"Frank Thomas","CHW","AL",1993,392,28,1,6.2,153,549,106,174,41,128,4,112,0.317,0.426,0.607,1.033,1
"270",2,"Paul Molitor","TOR","AL",1993,209,0,0.53,5.6,160,636,121,211,22,111,22,77,0.332,0.402,0.509,0.911,0
"271",3,"John Olerud","TOR","AL",1993,198,0,0.51,7.8,158,551,109,200,24,107,0,114,0.363,0.473,0.599,1.072,0
"272",4,"Juan González","TEX","AL",1993,185,0,0.47,6.5,140,536,105,166,46,118,4,37,0.31,0.368,0.632,1,0
"273",5,"Ken Griffey Jr.","SEA","AL",1993,182,0,0.46,8.8,156,582,113,180,45,109,17,96,0.309,0.408,0.617,1.025,0
"274",6,"Roberto Alomar","TOR","AL",1993,102,0,0.26,6.1,153,589,109,192,17,93,55,80,0.326,0.408,0.492,0.9,0
"275",7,"Albert Belle","CLE","AL",1993,81,0,0.21,4.7,159,594,93,172,38,129,23,76,0.29,0.37,0.552,0.922,0
"276",8,"Rafael Palmeiro","TEX","AL",1993,52,0,0.13,6.9,160,597,124,176,37,105,22,73,0.295,0.371,0.554,0.926,0
"277",1,"Frank Thomas","CHW","AL",1994,372,24,0.95,6.4,113,399,106,141,38,101,2,109,0.353,0.487,0.729,1.217,1
"278",2,"Ken Griffey Jr.","SEA","AL",1994,233,3,0.59,6.9,111,433,94,140,40,90,11,56,0.323,0.402,0.674,1.076,0
"279",3,"Albert Belle","CLE","AL",1994,225,0,0.57,5.7,106,412,90,147,36,101,9,58,0.357,0.438,0.714,1.152,0
"280",4,"Kenny Lofton","CLE","AL",1994,181,1,0.46,7.2,112,459,105,160,12,57,60,52,0.349,0.412,0.536,0.948,0
"281",5,"Paul O'Neill","NYY","AL",1994,150,0,0.38,4.3,103,368,68,132,21,83,5,72,0.359,0.46,0.603,1.064,0
"282",7,"Kirby Puckett","MIN","AL",1994,100,0,0.26,3.6,108,439,79,139,20,112,6,28,0.317,0.362,0.54,0.902,0
"283",8,"Julio Franco","CHW","AL",1994,49,0,0.13,3,112,433,72,138,20,98,8,62,0.319,0.406,0.51,0.916,0
"284",1,"Mo Vaughn","BOS","AL",1995,308,12,0.79,4.3,140,550,98,165,39,126,11,68,0.3,0.388,0.575,0.963,1
"285",2,"Albert Belle","CLE","AL",1995,300,11,0.77,7,143,546,121,173,50,126,5,73,0.317,0.401,0.69,1.091,0
"286",3,"Edgar Martínez","SEA","AL",1995,244,4,0.62,7,145,511,121,182,29,113,4,116,0.356,0.479,0.628,1.107,0
"287",5,"Jay Buhner","SEA","AL",1995,120,0,0.31,2.4,126,470,86,123,40,121,0,60,0.262,0.343,0.566,0.909,0
"288",7,"Tim Salmon","CAL","AL",1995,110,0,0.28,6.6,143,537,111,177,34,105,5,91,0.33,0.429,0.594,1.024,0
"289",8,"Frank Thomas","CHW","AL",1995,86,0,0.22,5.3,145,493,102,152,40,111,3,136,0.308,0.454,0.606,1.061,0
"290",9,"John Valentin","BOS","AL",1995,57,0,0.15,8.3,135,520,108,155,27,102,20,81,0.298,0.399,0.533,0.931,0
"291",1,"Juan González","TEX","AL",1996,290,11,0.74,3.8,134,541,89,170,47,144,2,45,0.314,0.368,0.643,1.011,1
"292",2,"Alex Rodriguez","SEA","AL",1996,287,10,0.73,9.4,146,601,141,215,36,123,15,59,0.358,0.414,0.631,1.045,0
"293",3,"Albert Belle","CLE","AL",1996,228,2,0.58,5.7,158,602,124,187,48,148,11,99,0.311,0.41,0.623,1.033,0
"294",4,"Ken Griffey Jr.","SEA","AL",1996,188,4,0.48,9.7,140,545,125,165,49,140,16,78,0.303,0.392,0.628,1.02,0
"295",5,"Mo Vaughn","BOS","AL",1996,132,0,0.34,5.6,161,635,118,207,44,143,2,95,0.326,0.42,0.583,1.003,0
"296",6,"Rafael Palmeiro","BAL","AL",1996,104,0,0.27,4.5,162,626,110,181,39,142,8,95,0.289,0.381,0.546,0.927,0
"297",7,"Mark McGwire","OAK","AL",1996,100,0,0.26,6.4,130,423,104,132,52,113,0,116,0.312,0.467,0.73,1.198,0
"298",8,"Frank Thomas","CHW","AL",1996,88,0,0.22,5.6,141,527,110,184,40,134,1,109,0.349,0.459,0.626,1.085,0
"299",9,"Brady Anderson","BAL","AL",1996,53,0,0.14,6.9,149,579,117,172,50,110,21,76,0.297,0.396,0.637,1.034,0
"300",1,"Ken Griffey Jr.","SEA","AL",1997,392,28,1,9.1,157,608,125,185,56,147,15,76,0.304,0.382,0.646,1.028,1
"301",2,"Tino Martinez","NYY","AL",1997,248,0,0.63,5.1,158,594,96,176,44,141,3,75,0.296,0.371,0.577,0.948,0
"302",3,"Frank Thomas","CHW","AL",1997,172,0,0.44,7.3,146,530,110,184,35,125,1,109,0.347,0.456,0.611,1.067,0
"303",5,"David Justice","CLE","AL",1997,90,0,0.23,3.8,139,495,84,163,33,101,3,80,0.329,0.418,0.596,1.013,0
"304",6,"Jim Thome","CLE","AL",1997,89,0,0.23,5.5,147,496,104,142,40,102,1,120,0.286,0.423,0.579,1.001,0
"305",7,"Tim Salmon","ANA","AL",1997,84,0,0.21,5,157,582,95,172,33,129,9,95,0.296,0.394,0.517,0.911,0
"306",8,"Nomar Garciaparra","BOS","AL",1997,83,0,0.21,6.6,153,684,122,209,30,98,22,35,0.306,0.342,0.534,0.875,0
"307",9,"Juan González","TEX","AL",1997,66,0,0.17,2.7,133,533,87,158,42,131,0,33,0.296,0.335,0.589,0.924,0
"308",1,"Juan González","TEX","AL",1998,357,21,0.91,4.9,154,606,110,193,45,157,2,46,0.318,0.366,0.63,0.997,1
"309",2,"Nomar Garciaparra","BOS","AL",1998,232,5,0.59,7.1,143,604,111,195,35,122,12,33,0.323,0.362,0.584,0.946,0
"310",3,"Derek Jeter","NYY","AL",1998,180,2,0.46,7.5,149,626,127,203,19,84,30,57,0.324,0.384,0.481,0.864,0
"311",4,"Ken Griffey Jr.","SEA","AL",1998,135,0,0.34,6.6,161,633,120,180,56,146,20,76,0.284,0.365,0.611,0.977,0
"312",4,"Mo Vaughn","BOS","AL",1998,135,0,0.34,5.6,154,609,107,205,40,115,0,61,0.337,0.402,0.591,0.993,0
"313",6,"Manny Ramirez","CLE","AL",1998,127,0,0.32,5.3,150,571,108,168,45,145,5,76,0.294,0.377,0.599,0.976,0
"314",7,"Bernie Williams","NYY","AL",1998,103,0,0.26,5.2,128,499,101,169,26,97,15,74,0.339,0.422,0.575,0.997,0
"315",8,"Albert Belle","CHW","AL",1998,98,0,0.25,7.1,163,609,113,200,49,152,6,81,0.328,0.399,0.655,1.055,0
"316",9,"Alex Rodriguez","SEA","AL",1998,92,0,0.23,8.5,161,686,123,213,42,124,46,45,0.31,0.36,0.56,0.919,0
"317",1,"Iván Rodríguez","TEX","AL",1999,252,7,0.64,6.4,144,600,116,199,35,113,25,24,0.332,0.356,0.558,0.914,1
"318",3,"Roberto Alomar","CLE","AL",1999,226,4,0.58,7.4,159,563,138,182,24,120,37,99,0.323,0.422,0.533,0.955,0
"319",3,"Manny Ramirez","CLE","AL",1999,226,4,0.58,7.3,147,522,131,174,44,165,2,96,0.333,0.442,0.663,1.105,0
"320",5,"Rafael Palmeiro","TEX","AL",1999,193,4,0.49,5.2,158,565,96,183,47,148,2,97,0.324,0.42,0.63,1.05,0
"321",6,"Derek Jeter","NYY","AL",1999,177,1,0.45,8,158,627,134,219,24,102,19,91,0.349,0.438,0.552,0.989,0
"322",7,"Nomar Garciaparra","BOS","AL",1999,137,0,0.35,6.6,135,532,103,190,27,104,14,51,0.357,0.418,0.603,1.022,0
"323",8,"Jason Giambi","OAK","AL",1999,49,0,0.13,5.9,158,575,115,181,33,123,1,105,0.315,0.422,0.553,0.975,0
"324",9,"Shawn Green","TOR","AL",1999,44,0,0.11,6.4,153,614,134,190,42,123,20,66,0.309,0.384,0.588,0.972,0
"325",1,"Jason Giambi","OAK","AL",2000,317,14,0.81,7.8,152,510,108,170,43,137,2,137,0.333,0.476,0.647,1.123,1
"326",2,"Frank Thomas","CHW","AL",2000,285,10,0.73,6,159,582,115,191,43,143,1,112,0.328,0.436,0.625,1.061,0
"327",3,"Alex Rodriguez","SEA","AL",2000,218,4,0.56,10.4,148,554,134,175,41,132,15,100,0.316,0.42,0.606,1.026,0
"328",4,"Carlos Delgado","TOR","AL",2000,206,0,0.53,7.3,162,569,115,196,41,137,0,123,0.344,0.47,0.664,1.134,0
"329",6,"Edgar Martínez","SEA","AL",2000,97,0,0.25,5.7,153,556,100,180,37,145,3,96,0.324,0.423,0.579,1.002,0
"330",6,"Manny Ramirez","CLE","AL",2000,97,0,0.25,4.8,118,439,92,154,38,122,1,86,0.351,0.457,0.697,1.154,0
"331",8,"Darin Erstad","ANA","AL",2000,94,0,0.24,8.4,157,676,121,240,25,100,28,64,0.355,0.409,0.541,0.951,0
"332",9,"Nomar Garciaparra","BOS","AL",2000,66,0,0.17,7.4,140,529,104,197,21,96,5,61,0.372,0.434,0.599,1.033,0
"333",1,"Ichiro Suzuki","SEA","AL",2001,289,11,0.74,7.7,157,692,127,242,8,69,56,30,0.35,0.381,0.457,0.838,1
"334",2,"Jason Giambi","OAK","AL",2001,281,8,0.72,9.2,154,520,109,178,38,120,2,129,0.342,0.477,0.66,1.137,0
"335",3,"Bret Boone","SEA","AL",2001,259,7,0.66,8.8,158,623,118,206,37,141,5,40,0.331,0.372,0.578,0.95,0
"336",4,"Roberto Alomar","CLE","AL",2001,165,2,0.42,7.3,157,575,113,193,20,100,30,80,0.336,0.415,0.541,0.956,0
"337",5,"Juan González","CLE","AL",2001,156,0,0.4,4.4,140,532,97,173,35,140,1,41,0.325,0.37,0.59,0.96,0
"338",6,"Alex Rodriguez","TEX","AL",2001,141,0,0.36,8.3,162,632,133,201,52,135,18,75,0.318,0.399,0.622,1.021,0
"339",7,"Jim Thome","CLE","AL",2001,107,0,0.27,5.6,156,526,101,153,49,124,0,111,0.291,0.416,0.624,1.04,0
"340",9,"Manny Ramirez","BOS","AL",2001,50,0,0.13,5.2,142,529,93,162,41,125,0,81,0.306,0.405,0.609,1.014,0
"341",1,"Miguel Tejada","OAK","AL",2002,356,21,0.91,5.7,162,662,108,204,34,131,7,38,0.308,0.354,0.508,0.861,1
"342",2,"Alex Rodriguez","TEX","AL",2002,254,5,0.65,8.8,162,624,125,187,57,142,9,87,0.3,0.392,0.623,1.015,0
"343",3,"Alfonso Soriano","NYY","AL",2002,234,2,0.6,4.9,156,696,128,209,39,102,41,23,0.3,0.332,0.547,0.88,0
"344",4,"Garret Anderson","ANA","AL",2002,184,0,0.47,5.1,158,638,93,195,29,123,6,30,0.306,0.332,0.539,0.871,0
"345",5,"Jason Giambi","NYY","AL",2002,162,0,0.41,7.1,155,560,120,176,41,122,2,109,0.314,0.435,0.598,1.034,0
"346",6,"Torii Hunter","MIN","AL",2002,132,0,0.34,3.5,148,561,89,162,29,94,23,35,0.289,0.334,0.524,0.859,0
"347",7,"Jim Thome","CLE","AL",2002,69,0,0.18,7.4,147,480,101,146,52,118,1,122,0.304,0.445,0.677,1.122,0
"348",8,"Magglio Ordóñez","CHW","AL",2002,59,0,0.15,5.2,153,590,116,189,38,135,7,53,0.32,0.381,0.597,0.978,0
"349",9,"Manny Ramirez","BOS","AL",2002,39,0,0.1,6,120,436,84,152,33,107,0,73,0.349,0.45,0.647,1.097,0
"350",1,"Alex Rodriguez","TEX","AL",2003,242,6,0.62,8.4,161,607,124,181,47,118,17,87,0.298,0.396,0.6,0.995,1
"351",2,"Carlos Delgado","TOR","AL",2003,213,5,0.54,5.9,161,570,117,172,42,145,0,109,0.302,0.426,0.593,1.019,0
"352",3,"Jorge Posada","NYY","AL",2003,194,5,0.49,5.9,142,481,83,135,30,101,2,93,0.281,0.405,0.518,0.922,0
"353",4,"Shannon Stewart","TOT","AL",2003,140,3,0.36,3.1,136,573,90,176,13,73,4,52,0.307,0.364,0.459,0.823,0
"354",5,"David Ortiz","BOS","AL",2003,130,4,0.33,3.4,128,448,79,129,31,101,0,58,0.288,0.369,0.592,0.961,0
"355",6,"Manny Ramirez","BOS","AL",2003,100,1,0.26,5.4,154,569,117,185,37,104,3,97,0.325,0.427,0.587,1.014,0
"356",7,"Nomar Garciaparra","BOS","AL",2003,99,1,0.25,6.1,156,658,120,198,28,105,19,39,0.301,0.345,0.524,0.87,0
"357",8,"Vernon Wells","TOR","AL",2003,84,1,0.21,4.5,161,678,118,215,33,117,4,42,0.317,0.359,0.55,0.909,0
"358",9,"Carlos Beltrán","KCR","AL",2003,77,0,0.2,5.8,141,521,102,160,26,100,41,72,0.307,0.389,0.522,0.911,0
"359",1,"Vladimir Guerrero","ANA","AL",2004,354,21,0.9,5.6,156,612,124,206,39,126,15,52,0.337,0.391,0.598,0.989,1
"360",2,"Gary Sheffield","NYY","AL",2004,254,5,0.65,4.2,154,573,117,166,36,121,5,92,0.29,0.393,0.534,0.927,0
"361",3,"Manny Ramirez","BOS","AL",2004,238,1,0.61,4.1,152,568,108,175,43,130,2,82,0.308,0.397,0.613,1.009,0
"362",4,"David Ortiz","BOS","AL",2004,174,1,0.44,4.3,150,582,94,175,41,139,0,75,0.301,0.38,0.603,0.983,0
"363",5,"Miguel Tejada","BAL","AL",2004,123,0,0.31,7.4,162,653,107,203,34,150,4,48,0.311,0.36,0.534,0.894,0
"364",7,"Ichiro Suzuki","SEA","AL",2004,98,0,0.25,9.2,161,704,101,262,8,60,36,49,0.372,0.414,0.455,0.869,0
"365",8,"Michael Young","TEX","AL",2004,92,0,0.23,1.9,160,690,114,216,22,99,12,44,0.313,0.353,0.483,0.836,0
"366",1,"Alex Rodriguez","NYY","AL",2005,331,16,0.84,9.4,162,605,124,194,48,130,21,91,0.321,0.421,0.61,1.031,1
"367",2,"David Ortiz","BOS","AL",2005,307,11,0.78,5.2,159,601,119,180,47,148,1,102,0.3,0.397,0.604,1.001,0
"368",3,"Vladimir Guerrero","LAA","AL",2005,196,1,0.5,5.7,141,520,95,165,32,108,13,61,0.317,0.394,0.565,0.959,0
"369",4,"Manny Ramirez","BOS","AL",2005,156,0,0.4,4.4,152,554,112,162,45,144,1,80,0.292,0.388,0.594,0.982,0
"370",5,"Travis Hafner","CLE","AL",2005,151,0,0.39,5.4,137,486,94,148,33,108,0,79,0.305,0.408,0.595,1.003,0
"371",6,"Paul Konerko","CHW","AL",2005,128,0,0.33,4,158,575,98,163,40,100,0,81,0.283,0.375,0.534,0.909,0
"372",7,"Mark Teixeira","TEX","AL",2005,106,0,0.27,7.2,162,644,112,194,43,144,4,72,0.301,0.379,0.575,0.954,0
"373",8,"Gary Sheffield","NYY","AL",2005,84,0,0.21,4.1,154,584,104,170,34,123,10,78,0.291,0.379,0.512,0.891,0
"374",1,"Justin Morneau","MIN","AL",2006,320,15,0.82,4.3,157,592,97,190,34,130,3,53,0.321,0.375,0.559,0.934,1
"375",2,"Derek Jeter","NYY","AL",2006,306,12,0.78,5.6,154,623,118,214,14,97,34,69,0.343,0.417,0.483,0.9,0
"376",3,"David Ortiz","BOS","AL",2006,193,0,0.49,5.8,151,558,115,160,54,137,1,119,0.287,0.413,0.636,1.049,0
"377",4,"Frank Thomas","OAK","AL",2006,174,0,0.44,3.2,137,466,77,126,39,114,0,81,0.27,0.381,0.545,0.926,0
"378",5,"Jermaine Dye","CHW","AL",2006,156,0,0.4,4.6,146,539,103,170,44,120,7,59,0.315,0.385,0.622,1.006,0
"379",6,"Joe Mauer","MIN","AL",2006,116,0,0.3,5.8,140,521,86,181,13,84,8,79,0.347,0.429,0.507,0.936,0
"380",8,"Travis Hafner","CLE","AL",2006,64,0,0.16,5.9,129,454,100,140,42,117,0,100,0.308,0.439,0.659,1.097,0
"381",9,"Vladimir Guerrero","LAA","AL",2006,46,0,0.12,3.8,156,607,92,200,33,116,15,50,0.329,0.382,0.552,0.934,0
"382",1,"Alex Rodriguez","NYY","AL",2007,382,26,0.97,9.4,158,583,143,183,54,156,24,95,0.314,0.422,0.645,1.067,1
"383",2,"Magglio Ordóñez","DET","AL",2007,258,2,0.66,7.3,157,595,117,216,28,139,4,76,0.363,0.434,0.595,1.029,0
"384",3,"Vladimir Guerrero","LAA","AL",2007,203,0,0.52,4.6,150,574,89,186,27,125,2,71,0.324,0.403,0.547,0.95,0
"385",4,"David Ortiz","BOS","AL",2007,177,0,0.45,6.4,149,549,116,182,35,117,3,111,0.332,0.445,0.621,1.066,0
"386",5,"Mike Lowell","BOS","AL",2007,126,0,0.32,5,154,589,79,191,21,120,3,53,0.324,0.378,0.501,0.879,0
"387",6,"Jorge Posada","NYY","AL",2007,112,0,0.29,5.4,144,506,91,171,20,90,2,74,0.338,0.426,0.543,0.97,0
"388",7,"Víctor Martínez","CLE","AL",2007,103,0,0.26,4.3,147,562,78,169,25,114,0,62,0.301,0.374,0.505,0.879,0
"389",8,"Ichiro Suzuki","SEA","AL",2007,89,0,0.23,5.8,161,678,111,238,6,68,37,49,0.351,0.396,0.431,0.827,0
"390",9,"Carlos Peña","TBD","AL",2007,64,0,0.16,7.2,148,490,99,138,46,121,1,103,0.282,0.411,0.627,1.037,0
"391",1,"Dustin Pedroia","BOS","AL",2008,317,16,0.81,7,157,653,118,213,17,83,20,50,0.326,0.376,0.493,0.869,1
"392",2,"Justin Morneau","MIN","AL",2008,257,7,0.66,4.2,163,623,97,187,23,129,0,76,0.3,0.374,0.499,0.873,0
