"","Rank","Name","Tm","League","Year","Vote.Pts","X1st.Place","Share","WAR","G","AB","R","H","HR","RBI","SB","BB","BA","OBP","SLG","OPS","Winners"
"39",7,"Roy Sievers","CHW","AL",1960,58,0,0.17,3.6,127,444,87,131,28,93,1,74,0.295,0.396,0.534,0.93,0
"40",8,"Earl Battey","WSH","AL",1960,57,0,0.17,3.2,137,466,49,126,15,60,4,48,0.27,0.346,0.427,0.773,0
"41",9,"Bill Skowron","NYY","AL",1960,56,0,0.17,4.6,146,538,63,166,26,91,2,38,0.309,0.353,0.528,0.881,0
"42",1,"Roger Maris","NYY","AL",1961,202,7,0.72,6.9,161,590,132,159,61,141,0,94,0.269,0.372,0.62,0.993,1
"43",2,"Mickey Mantle","NYY","AL",1961,198,6,0.71,10.4,153,514,131,163,54,128,12,126,0.317,0.448,0.687,1.135,0
"44",3,"Jim Gentile","BAL","AL",1961,157,5,0.56,6.9,148,486,96,147,46,141,1,96,0.302,0.423,0.646,1.069,0
"45",4,"Norm Cash","DET","AL",1961,151,1,0.54,9.2,159,535,119,193,41,132,11,124,0.361,0.487,0.662,1.148,0
"46",8,"Rocky Colavito","DET","AL",1961,51,0,0.18,7.6,163,583,129,169,45,140,1,113,0.29,0.402,0.58,0.982,0
"47",9,"Al Kaline","DET","AL",1961,35,0,0.13,8.4,153,586,116,190,19,82,14,66,0.324,0.393,0.515,0.909,0
"48",1,"Mickey Mantle","NYY","AL",1962,234,13,0.84,6,123,377,96,121,30,89,9,122,0.321,0.486,0.605,1.091,1
"49",2,"Bobby Richardson","NYY","AL",1962,152,5,0.54,3.2,161,692,99,209,8,59,11,37,0.302,0.337,0.406,0.743,0
"50",3,"Harmon Killebrew","MIN","AL",1962,99,1,0.35,2.8,155,552,85,134,48,126,1,106,0.243,0.366,0.545,0.912,0
"51",4,"Leon Wagner","LAA","AL",1962,85,0,0.3,2,160,612,96,164,37,107,7,50,0.268,0.326,0.5,0.826,0
"52",6,"Al Kaline","DET","AL",1962,58,0,0.21,4.4,100,398,78,121,29,94,4,47,0.304,0.376,0.593,0.969,0
"53",7,"Norm Siebern","KCA","AL",1962,53,0,0.19,5.5,162,600,114,185,25,117,3,110,0.308,0.412,0.495,0.907,0
"54",8,"Rich Rollins","MIN","AL",1962,47,0,0.17,3.9,159,624,96,186,16,96,3,75,0.298,0.374,0.428,0.802,0
"55",9,"Brooks Robinson","BAL","AL",1962,41,0,0.15,6.1,162,634,77,192,23,86,3,42,0.303,0.342,0.486,0.828,0
"56",1,"Elston Howard","NYY","AL",1963,248,15,0.89,5.2,135,487,75,140,28,85,0,35,0.287,0.342,0.528,0.869,1
"57",2,"Al Kaline","DET","AL",1963,148,1,0.53,5.4,145,551,89,172,27,101,6,54,0.312,0.375,0.514,0.889,0
"58",4,"Harmon Killebrew","MIN","AL",1963,85,0,0.3,4.2,142,515,88,133,45,96,0,72,0.258,0.349,0.555,0.904,0
"59",6,"Carl Yastrzemski","BOS","AL",1963,81,0,0.29,6.6,151,570,91,183,14,68,8,95,0.321,0.418,0.475,0.894,0
"60",7,"Earl Battey","MIN","AL",1963,57,0,0.2,4.2,147,508,64,145,26,84,0,61,0.285,0.369,0.476,0.845,0
"61",9,"Pete Ward","CHW","AL",1963,52,0,0.19,4.1,157,600,80,177,22,84,7,52,0.295,0.353,0.482,0.835,0
"62",1,"Brooks Robinson","BAL","AL",1964,269,18,0.96,8.1,163,612,82,194,28,118,1,51,0.317,0.368,0.521,0.889,1
"63",2,"Mickey Mantle","NYY","AL",1964,171,2,0.61,4.8,143,465,92,141,35,111,6,99,0.303,0.423,0.591,1.015,0
"64",3,"Elston Howard","NYY","AL",1964,124,0,0.44,5.5,150,550,63,172,15,84,1,48,0.313,0.371,0.455,0.825,0
"65",4,"Tony Oliva","MIN","AL",1964,99,0,0.35,6.8,161,672,109,217,32,94,12,34,0.323,0.359,0.557,0.916,0
"66",6,"Pete Ward","CHW","AL",1964,67,0,0.24,6.3,144,539,61,152,23,94,1,56,0.282,0.348,0.473,0.821,0
"67",7,"Bill Freehan","DET","AL",1964,44,0,0.16,5.3,144,520,69,156,18,80,5,36,0.3,0.35,0.462,0.812,0
"68",1,"Zoilo Versalles","MIN","AL",1965,275,19,0.98,7.2,160,666,126,182,19,77,27,41,0.273,0.319,0.462,0.781,1
"69",2,"Tony Oliva","MIN","AL",1965,174,1,0.62,5.4,149,576,107,185,16,98,19,55,0.321,0.378,0.491,0.87,0
"70",3,"Brooks Robinson","BAL","AL",1965,150,0,0.54,4.5,144,559,81,166,18,80,3,47,0.297,0.351,0.445,0.797,0
"71",5,"Rocky Colavito","CLE","AL",1965,89,0,0.32,3.3,162,592,92,170,26,108,1,93,0.287,0.383,0.468,0.851,0
"72",8,"Willie Horton","DET","AL",1965,24,0,0.09,3,143,512,69,140,29,104,5,48,0.273,0.34,0.49,0.831,0
