Rank,Name,Tm,League,Year,Vote.Pts,X1st.Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO
5,Tito Francona,CLE,AL,1959,102,0,30%,4.8,122,399,68,145,20,79,2,35,0.363,0.414,0.566,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Al Kaline,DET,AL,1959,84,0,25%,5.9,136,511,85,167,27,94,10,72,0.327,0.41,0.53,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Jim Landis,CHW,AL,1959,66,0,20%,5.7,149,515,78,140,5,60,20,78,0.272,0.37,0.379,0.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Harvey Kuenn,DET,AL,1959,64,0,19%,4.3,139,561,99,198,9,71,7,48,0.353,0.402,0.501,0.903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Sherm Lollar,CHW,AL,1959,44,0,13%,3.4,140,505,63,134,22,84,4,55,0.265,0.345,0.451,0.796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Roger Maris,NYY,AL,1960,225,8,67%,7.5,136,499,98,141,39,112,2,70,0.283,0.371,0.581,0.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Mickey Mantle,NYY,AL,1960,222,10,66%,6.4,153,527,119,145,40,94,14,111,0.275,0.399,0.558,0.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Brooks Robinson,BAL,AL,1960,211,3,63%,4.1,152,595,74,175,14,88,2,35,0.294,0.329,0.44,0.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Minnie Miñoso,CHW,AL,1960,141,2,42%,2.8,154,591,89,184,20,105,17,52,0.311,0.374,0.481,0.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Ron Hansen,BAL,AL,1960,110,1,33%,3.9,153,530,72,135,22,86,3,69,0.255,0.342,0.44,0.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Al Smith,CHW,AL,1960,73,0,22%,1.9,142,536,80,169,12,72,8,50,0.315,0.374,0.451,0.826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Roy Sievers,CHW,AL,1960,58,0,17%,3.6,127,444,87,131,28,93,1,74,0.295,0.396,0.534,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Earl Battey,WSH,AL,1960,57,0,17%,3.2,137,466,49,126,15,60,4,48,0.27,0.346,0.427,0.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Bill Skowron,NYY,AL,1960,56,0,17%,4.6,146,538,63,166,26,91,2,38,0.309,0.353,0.528,0.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Roger Maris,NYY,AL,1961,202,7,72%,6.9,161,590,132,159,61,141,0,94,0.269,0.372,0.62,0.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
